establishment_id,establishment_number,establishment_name,duns_number,street,city,state,zip,phone,grant_date,type,dbas,district,circuit,size,latitude,longitude,county,fips_code,meat_exemption_custom_slaughter,poultry_exemption_custom_slaughter,slaughter,meat_slaughter,beef_cow_slaughter,steer_slaughter,heifer_slaughter,bull_stag_slaughter,dairy_cow_slaughter,heavy_calf_slaughter,bob_veal_slaughter,formula_fed_veal_slaughter,non_formula_fed_veal_slaughter,market_swine_slaughter,sow_slaughter,roaster_swine_slaughter,boar_stag_swine_slaughter,stag_swine_slaughter,feral_swine_slaughter,goat_slaughter,young_goat_slaughter,adult_goat_slaughter,sheep_slaughter,lamb_slaughter,deer_reindeer_slaughter,antelope_slaughter,elk_slaughter,bison_slaughter,buffalo_slaughter,water_buffalo_slaughter,cattalo_slaughter,yak_slaughter,other_voluntary_livestock_slaughter,rabbit_slaughter,poultry_slaughter,young_chicken_slaughter,light_fowl_slaughter,heavy_fowl_slaughter,capon_slaughter,young_turkey_slaughter,young_breeder_turkey_slaughter,old_breeder_turkey_slaughter,fryer_roaster_turkey_slaughter,duck_slaughter,goose_slaughter,pheasant_slaughter,quail_slaughter,guinea_slaughter,ostrich_slaughter,emu_slaughter,rhea_slaughter,squab_slaughter,other_voluntary_poultry_slaughter,slaughter_or_processing_only,slaughter_only_class,slaughter_only_species,meat_slaughter_only_species,poultry_slaughter_only_species,slaughter_volume_category,processing_volume_category,beef_processing,pork_processing,antelope_processing,bison_processing,buffalo_processing,deer_processing,elk_processing,goat_processing,other_voluntary_livestock_processing,rabbit_processing,reindeer_processing,sheep_processing,yak_processing,chicken_processing,duck_processing,goose_processing,pigeon_processing,ratite_processing,turkey_processing,exotic_poultry_processing,other_voluntary_poultry_processing
11,11,Ferme de la Derrier,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.8383324,3.140383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
12,12,Ferme avicole de Villemarechal,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.2837658,2.8641285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
13,13,Ferme des Moënes - Famille GARCES - GAEC de la Basse cour,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.3384378,2.6069841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
14,14,Ferme la Volaille Prunaysienne - famille HARDY,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.3584826,2.3696388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
15,15,Ferme du Fourcheret - Laurent RAYMOND,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.4090372,2.3950072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
16,16,Les P'tites Cocottes d'Edith,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.5004739,2.1677514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
17,17,Élevage Avicole Saint Georges,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.9198966,2.9734725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
18,18,Ferme de Dieu l'Amant - Earl Birckel,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.9204317,2.9709302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
19,19,Ferme des Fourneaux,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.5741228,2.3504198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
20,20,(Fermé depuis 2021) Domaine du Mesnil St Martin,,,,,,,2024-03-01,Animal Production,,,,Unknown,49.1805474,2.2337859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
21,21,Le Poulailler d'Havelu (Phillipe Duval),,,,,,,2024-03-01,Animal Production,,,,Unknown,48.7847664,1.5348611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
22,22,EARL Les Bruyères,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.5124649,1.34656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
23,23,Ferme Charreire Michel,,,,,,,2024-03-01,Animal Production,,,,Unknown,49.0467064,1.4682848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
24,24,Ferme du Pizay,,,,,,,2024-03-01,Animal Production; Meat Slaughter,,,,Unknown,48.5919067,1.3900999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
25,25,EARL des Tuileries,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.8634142,1.6123775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
26,26,Les Volailles de Véronique,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.8681073,1.6141831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
27,27,SARL du Moulin,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.7828796,1.5666102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
28,28,Ferme d'Olivet,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.7734926,1.6490874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
29,29,EARL de la Huniere,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.5988927,1.8674726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
30,30,La Ferme de Beauce,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.3495627,1.850107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
31,31,Haras et Centre Équestre de l’Élevage Boréal,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.6882553,2.84558590000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
32,32,EARL Dayomat,,,,,,,2024-03-01,Animal Production,,,,Unknown,49.1376683,2.40318149999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
33,33,Earl Ornada,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.6150395,1.86310570000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
34,34,Pamfou Dressage,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.4540532,2.8608899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
35,35,Doutrelant Denis,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.6451938,2.6888498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
36,36,Elevage et Lycée Agricole La Bretonnière,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.812968,3.14997500000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
37,37,La Nozaie Earl,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.288535,2.7913403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
38,38,Ferme de la vue - Catherine et Georges ROCHER,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.476595,2.79777100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
39,39,"SARL ""LA FERME DE COURCELLES""",,,,,,,2024-03-01,Animal Production,,,,Unknown,48.740406,2.79501200000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
40,40,Ferme de la Bergerie nationale de Rambouillet,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.6452002,1.7978043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
41,41,Ferme de Filbois,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.2156762,2.60784190000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
42,42,Eco ferme soluzion,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.9472182,3.14322990000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
43,43,Ferme Bellevie - Villages Nature Paris,,,,,,,2024-03-01,Exhibition,,,,Unknown,48.8269758,2.8108057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
44,44,Élevage (nom inconnu),,,,,,,2024-03-01,Animal Production,,,,Unknown,48.4594858,2.1176145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
45,45,De Fromentel Yves,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.6517534,3.0705447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
46,46,EARL Ferme de Saint Thibault,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.8610318,2.6818068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
47,47,DOMAINE DES TRENTE ARPENTS,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.7894996,2.7928245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
48,48,Ferme de Viltain,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.7549603,2.1574666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
49,49,Ferme de Meneuse - Gaec Lefevre,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.7129551,3.1847098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
50,50,Ferme de Bissy,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.6160388,2.0509678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
51,51,Ferme De Rouilly Le Bas,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.828111,2.9705966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
52,52,Ferme de Champgarnier - EARL Demuyt,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.7444776,1.977892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
53,53,Ferme de l'arche,,,,,,,2024-03-01,Animal Production,,,,Unknown,49.1583812,2.0459125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
54,54,Ferme de Coubertin,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.7018921,2.0552693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
55,55,GFA des Hautefeuilles,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.4593406,2.1161423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
56,56,Domaine de la Chalotterie,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.6820686,2.8067966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
57,57,Ferme Saint-Antoine,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.8024635,2.5815317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
58,58,La ferme Chauvry,,,,,,,2024-03-01,Animal Production,,,,Unknown,49.0535628,2.2682478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
59,59,De Michelis Earl,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.4485176,2.7912558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
60,60,Ferme de la Recette,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.4512792,2.919052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
61,61,Ferme du Grand Clos,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.4047348,2.267445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
62,62,Ferme des Quatre temps,,,,,,,2024-03-01,Animal Production; Meat Slaughter,,,,Unknown,48.3045673,2.472084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
63,63,Ferme du Lugin - Ghislaine et Lionel DUBOIS.,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.6706093,3.1127059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
64,64,Ferme du Moulin,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.7305345,2.8772057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
65,65,Ferme du Loup Ravissant,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.8053053,1.6646681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
66,66,L'Autruche Rieuse - Sylvette ROBERT,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.321807,2.9925418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
67,67,Ferme de La Noue,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.6439737,1.95156829999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
68,68,Ferme des Fourneaux,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.5737165,2.3519752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
69,69,SCEA Andre Du Bois Rouvray,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.5302834,1.2511677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
70,70,Caron Alain,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.5827076,2.71064409999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
71,71,Elevage ?,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.2385288,2.8752376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
72,72,Elevage ?,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.2361388888889,2.87430555555557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
73,73,Elevage ?,,,,,,,2024-03-01,Animal Production,,,,Unknown,49.1522274,2.0537584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
74,74,Elevage ?,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.5209069,1.2540326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
75,75,Elevage ?,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.8075248,1.5086273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
76,76,Elevage ?,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.829511,2.77022299999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
77,77,Elevage ?,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.8308599,2.8297705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
78,78,Elevage ?,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.8312125,2.8299723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
79,79,Elevage ?,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.630299,2.21779500000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
80,80,Ferme Carmignac,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.5873105,2.629612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
81,81,Elevage de Chevaux / Juments ?,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.5843401,2.7081071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
82,82,Elevage de poules pondeuses,,,,,,,2024-03-01,Animal Production,,,,Unknown,48.581622,2.69759499999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,
