establishment_id,establishment_number,establishment_name,duns_number,street,city,state,zip,phone,grant_date,type,dbas,district,circuit,size,latitude,longitude,county,fips_code,meat_exemption_custom_slaughter,poultry_exemption_custom_slaughter,slaughter,meat_slaughter,beef_cow_slaughter,steer_slaughter,heifer_slaughter,bull_stag_slaughter,dairy_cow_slaughter,heavy_calf_slaughter,bob_veal_slaughter,formula_fed_veal_slaughter,non_formula_fed_veal_slaughter,market_swine_slaughter,sow_slaughter,roaster_swine_slaughter,boar_stag_swine_slaughter,stag_swine_slaughter,feral_swine_slaughter,goat_slaughter,young_goat_slaughter,adult_goat_slaughter,sheep_slaughter,lamb_slaughter,deer_reindeer_slaughter,antelope_slaughter,elk_slaughter,bison_slaughter,buffalo_slaughter,water_buffalo_slaughter,cattalo_slaughter,yak_slaughter,other_voluntary_livestock_slaughter,rabbit_slaughter,poultry_slaughter,young_chicken_slaughter,light_fowl_slaughter,heavy_fowl_slaughter,capon_slaughter,young_turkey_slaughter,young_breeder_turkey_slaughter,old_breeder_turkey_slaughter,fryer_roaster_turkey_slaughter,duck_slaughter,goose_slaughter,pheasant_slaughter,quail_slaughter,guinea_slaughter,ostrich_slaughter,emu_slaughter,rhea_slaughter,squab_slaughter,other_voluntary_poultry_slaughter,slaughter_or_processing_only,slaughter_only_class,slaughter_only_species,meat_slaughter_only_species,poultry_slaughter_only_species,slaughter_volume_category,processing_volume_category,beef_processing,pork_processing,antelope_processing,bison_processing,buffalo_processing,deer_processing,elk_processing,goat_processing,other_voluntary_livestock_processing,rabbit_processing,reindeer_processing,sheep_processing,yak_processing,chicken_processing,duck_processing,goose_processing,pigeon_processing,ratite_processing,turkey_processing,exotic_poultry_processing,other_voluntary_poultry_processing
10,,Mina Istanbul Kebab Produktion ApS,,Smedeland 36,Glostrup,,2600,,,Meat Processing; Meat Slaughter,,,,,55.681713,12.392743,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,DANKØD EN GROS SLAGELSE APS,,Matildevej  4,Slagelse,,4200,,,Meat Processing; Meat Slaughter,,,,,55.396568,11.323642,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,CHRISTAN VOLLSTEDT - SØNDERJYSKE DIPLOMPØLSER ApS AF 01.01.2,,Naffet  22,Haderslev,,6100,,,Meat Processing; Meat Slaughter,,,,,55.249166,9.492549,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,ZPD A/S,,H E Bluhmes Vej 63,Esbjerg,,6700,,,Meat Processing; Meat Slaughter,,,,,55.479601,8.425975,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,Tamaco A/S,,Brunagervej 1,Hasselager,,8361,,,Meat Processing; Meat Slaughter,,,,,56.100826,10.071217,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Jensens Foods A/S,,Energivej  5,Struer,,7600,,,Meat Processing; Meat Slaughter,,,,,56.48192,8.580884,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,STRYHN'S A/S LANGELAND,,Kassebøllevej  4,Rudkøbing,,5900,,,Meat Processing; Meat Slaughter,,,,,54.948156,10.759364,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,OK Snacks A/S,,Holmevej  6,Ejstrupholm,,7361,,,Meat Processing; Meat Slaughter,,,,,55.981895,9.304069,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,E. LAMPE PØLSEGÅRDEN ApS,,Lysbjergvej 11,Vojens,,6500,,,Meat Processing; Meat Slaughter,,,,,55.24849,9.394432,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Scan Meat Aps,,Matildevej  6,Slagelse,,4200,,,Meat Processing; Meat Slaughter,,,,,55.396178,11.323334,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,ATRIA DANMARK A/S,,Aage Jensen Bakken  1,Horsens,,8700,,,Meat Processing; Meat Slaughter,,,,,55.891176,9.836556,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Danish Crown,,Estrupvej 7,Esbjerg,,6700,,,Meat Processing; Meat Slaughter,,,,,55.462962,8.46226,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,NR. SØBY KØD ENGROS A/S,,Nymarksgyden  5,Årslev,,5792,,,Meat Processing; Meat Slaughter,,,,,55.309555,10.402662,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Danish Crown A/S,,Scandiavej 5,Låsby,,8670,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Vendsyssel Fjerkræslagteri ApS Engros,,Lyngbyvej  120,Løkken,,9480,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,DAT-Schaub A/S,,Ådalen  4,Køge,,4600,,,Meat Processing; Meat Slaughter,,,,,55.505381,12.183264,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,SU'VI:T Aps,,Falstervej 19,Nyborg,,5800,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Chr. Hansen A/S,,Sundsnæs  10,Gråsten,,6300,,,Meat Processing; Meat Slaughter,,,,,54.909258,9.593769,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Aabenraa Slagteren ApS,,Søndergade 9B,Aabenraa,,6200,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,RønhaveSlagteren v/ Sune Hansen,,Hestehave 24,Sønderborg,,6400,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Svaneke Slagter ApS,,Vigebakke 1A,Svaneke,,3740,,,Meat Processing; Meat Slaughter,,,,,55.136622,15.139182,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,GRÅSTEN FJERKRÆ A/S,,Kværsgade  18,Gråsten,,6300,,,Meat Processing; Meat Slaughter,,,,,54.93199,9.496703,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,AaD Drift ApS central køkken,,Lundvej 8,Herning,,7400,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Öxneholm A/S,,Søndre Mellemvej  48,Roskilde,,4000,,,Meat Processing; Meat Slaughter,,,,,55.646727,12.12772,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,Danish Pork Meat ApS,,Rugvænget 8,Slagelse,,4200,,,Meat Processing; Meat Slaughter,,,,,55.392457,11.340724,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,HØJER PØLSER A/S,,Østermarkvej  16-18,Højer,,6280,,,Meat Processing; Meat Slaughter,,,,,54.973212,8.704894,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,DANISH FOOD COMPANY SLAGELSE A/S BEST BEEF,,Kongstedvej 2F,Slagelse,,4200,,,Meat Processing; Meat Slaughter,,,,,55.394057,11.336997,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,BHJ A/S,,Kornvej  1,Hobro,,9500,,,Meat Processing; Meat Slaughter,,,,,56.654088,9.811357,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,DELICATE A/S,,Greve Main 12,Greve,,2670,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Kødkrogen,,Gunnar Clausens Vej 13A st,Viby J,,8260,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,KJØ ApS,,Vestergade 3,Nordborg,,6430,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,Delika Aalborg A/S,,Middelfartvej 2,Aalborg Ø,,9220,,,Meat Processing; Meat Slaughter,,,,,57.044046,10.031005,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,BC Catering Skanderborg A/S,,Niels Bohrs Vej  20,Skanderborg,,8660,,,Meat Processing; Meat Slaughter,,,,,56.067036,9.986561,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,SLAGTER ENGDAHL ApS Pølsemageri,,Industriparken 10,Holeby,,4960,,,Meat Processing; Meat Slaughter,,,,,54.726144,11.458799,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,Convi Food ApS,,Vandtårnsvej  75 1,Søborg,,2860,,,Meat Processing; Meat Slaughter,,,,,55.734884,12.483747,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,"Danish Crown A/S, Thorning",,Bommen 9,Kjellerup,,8620,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,Delika Christiansfeld A/S,,Kongensgade 47,Christiansfeld,,6070,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,Slagterbob ApS,,Industrigrenen 21,Ishøj,,2635,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,HB Kødgros Aps,,Kirstinehøj 75,Kastrup,,2770,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Kødriget ApS,,Guldagervej 107,Esbjerg V,,6710,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,INCO CC KØBENHAVN A/S,,Flæsketorvet 84  A,København V,,1711,,,Meat Processing; Meat Slaughter,,,,,55.666955,12.559854,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Bøje Kød Engros ApS,,Kirstinehøj 75,Kastrup,,2770,,,Meat Processing; Meat Slaughter,,,,,55.616526,12.613525,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,Bodebjerg ApS,,Vinkelvej 21,Marslev,,5290,,,Meat Processing; Meat Slaughter,,,,,55.380353,10.517834,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Top Food,,Sønderbro  21,Bindslev,,9881,,,Meat Processing; Meat Slaughter,,,,,57.53688,10.197439,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,Skagen Skinke,,Kassevej 3,Skagen,,9990,,,Meat Processing; Meat Slaughter,,,,,57.720907,10.591989,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,samosa factory / desi food factory,,Farverland 4,Glostrup,,2600,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,ATRIA DANMARK A/S,,Langmarksvej  1,Horsens,,8700,,,Meat Processing; Meat Slaughter,,,,,55.87195,9.84661,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,BHJ A/S Essentia,,Sundsnæs  33,Gråsten,,6300,,,Meat Processing; Meat Slaughter,,,,,54.910024,9.593343,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,MB FOOD A/S,,Korskildeeng  3,Greve,,2670,,,Meat Processing; Meat Slaughter,,,,,55.583824,12.254631,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,"Danish Crown A/S, Inventorium",,Tulipvej 10,Vejle,,7100,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,Hørkram Foodservice A/S,,Centervej  1,Sorø,,4180,,,Meat Processing; Meat Slaughter,,,,,55.462986,11.569079,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,JN MEAT ApS Genz Kød,,Elmedalsvej  8,Slagelse,,4200,,,Meat Processing; Meat Slaughter,,,,,55.418569,11.340246,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,Uni Catering ApS,,Engmarken 6,Brabrand,,8220,,,Meat Processing; Meat Slaughter,,,,,56.168861,10.108091,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,AB CATERING A/S,,Kystvejen  80,Nørresundby,,9400,,,Meat Processing; Meat Slaughter,,,,,57.088144,9.985776,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,Aarhus Kødengros ApS,,Viaduktvej 7,Viby J,,8260,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,Økogårdene Skjern Enge ApS.,,Feldsingvej 3,Skjern,,6900,,,Meat Processing; Meat Slaughter,,,,,55.989317,8.692569,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,Homemate A/S,,Telefonvej 6,Søborg,,2860,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,Sticks N Sushi,,Fjeldhammervej  15,Rødovre,,2610,,,Meat Processing; Meat Slaughter,,,,,55.674726,12.440412,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,Nordthy Meat ApS,,Trehøjevej  29,Grindsted,,7200,,,Meat Processing; Meat Slaughter,,,,,55.763474,8.898164,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,Oscar A/S,,Industrivej  36,Rønnede,,4683,,,Meat Processing; Meat Slaughter,,,,,55.265472,12.029209,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,Den Gamle Slagter v/M. Vangsgaard  Engros,,Vestergade 74,Thisted,,7700,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,Den Røde Okse Catering,,Stenhuggervej 5,Esbjerg V,,6710,,,Meat Processing; Meat Slaughter,,,,,55.509762,8.408039,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,GoodLife Foods Nyborg A/S,,Delfinvej  3-5,Nyborg,,5800,,,Meat Processing; Meat Slaughter,,,,,55.305384,10.811634,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,"Holsted Kød Aps, engros",,Energivej 22,Holsted,,6670,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,Als pølser,,Kirke Hørupvej 20,Sydals,,6470,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,Slagter Theilgaard A/S,,Oddesundvej  25,Esbjerg N,,6715,,,Meat Processing; Meat Slaughter,,,,,55.516237,8.463783,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,Steensgaard Produktion,,Steensgaard 3,Millinge,,5642,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,Danfoods ApS,,Industrivej Syd 1B,Herning,,7400,,,Meat Processing; Meat Slaughter,,,,,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
