Account Name,Customer Number_x,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County,Customer Number_y,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals,latitude,longitude
Bioqual Inc,93,51-R-0036,Class R - Research Facility,Active,,9600 Medical Center Dr,Suite 101,"Rockville, MD 20850",Montgomery,93,2024,,,,610,36,2506,,,,,,
Dana-Farber Cancer Institute,100,14-R-0003,Class R - Research Facility,Cancelled,,450 BROOKLINE AVENUE,,"BOSTON, MA 02215",Suffolk,100,2024,,,,,,,,,,,42.3375681,-71.1078696
Pine Acres Rabbitry Farm,101,14-R-0004,Class R - Research Facility,Active,,299 E. MAIN STREET,,"NORTON, MA 02766",Bristol,101,2024,,,,,53,,,20,,,41.9931823,-71.1534192
The Schepens Eye Research Institute,106,14-R-0010,Class R - Research Facility,Active,,20 STANIFORD STREET,,"BOSTON, MA 02114",Suffolk,106,2024,,,,,86,,,,,,42.3618987,-71.0646106
Harvard Medical School,107,14-R-0019,Class R - Research Facility,Active,,HARVARD CENTER FOR COMPARATIVE MEDICINE,665 HUNTINGTON AVE,"BOSTON, MA 02115",Suffolk,107,2024,,,,,,50,,,,,,
General Hospital Corporation (MASSACHUSETTS GENERAL HOSPITAL),108,14-R-0014,Class R - Research Facility,Active,,RES MGMT 149 13TH ST # 5249,,"CHARLESTOWN, MA 02129",Suffolk,108,2024,2,,10,,105,283,4,240,4,,,
University of Michigan,109,34-R-0001,Class R - Research Facility,Active,,NCRC 520 – 2137 2800 Plymouth Rd,,"Ann Arbor, MI 48109",Washtenaw,109,2024,,,50,156,825,6,73,248,,,,
LCF Foundation Inc (Lahey Medical Center),110,14-R-0016,Class R - Research Facility,Active,,41 Mall Road,,"Burlington, MA 01805",Middlesex,110,2024,,,,,,,,,,,,
Henry Ford Hospital,111,34-R-0151,Class R - Research Facility,Active,,2799 W GRAND BLVD,,"DETROIT, MI 48202",Wayne,111,2024,36,,,,,,,,,,42.3678522,-83.0855196
Boston University,112,14-R-0017,Class R - Research Facility,Active,,"85 East Newton St., Room 426",,"Boston, MA 02118",Suffolk,112,2024,,,32,250,6,250,,,,,42.3362761,-71.070852
Massachusetts Institute of Technology (OFFICE OF THE VICE PRESIDENT FOR RESEARCH),114,14-R-0018,Class R - Research Facility,Active,,"77 MASSACHUSETTS AVENUE, 3-240",,"CAMBRIDGE, MA 02139",Middlesex,114,2024,,,,398,26,299,,36,,,,
Providence Hospital,116,34-R-0009,Class R - Research Facility,Active,,28000 Dequindre Rd,,"Warren, MI 48092",Macomb,116,2024,,,,,,,,2,,,42.4982934,-83.0852527
Boston Children’s Hospital (JOHN ENDERS PEDIATRIC RESEARCH),117,14-R-0020,Class R - Research Facility,Active,,BCH 3396,300 LONGWOOD AVE,"BOSTON, MA 02115",Suffolk,117,2024,,,,,22,,52,65,,,,
Northeastern University,118,14-R-0021,Class R - Research Facility,Active,,12 MUGAR LIFE SCIENCES BLDG,360 HUNTINGTON AVE,"BOSTON, MA 02115",Suffolk,118,2024,,,,24,,,,,,,,
Massachusetts Eye And Ear Infirmary,119,14-R-0022,Class R - Research Facility,Active,,243 CHARLES STREET,,"BOSTON, MA 02114",Suffolk,119,2024,,,39,,5,,,,,,42.3628213,-71.0701049
Wayne State University,120,34-R-0014,Class R - Research Facility,Active,,DIRECTOR/ATTENDING VETERINARIAN,DIVISION OF LABORATORY ANIMAL RESOURCES,"DETROIT, MI 48201",Wayne,120,2024,6,,,,368,,,29,,,,
Holyoke Community College,121,14-R-0025,Class R - Research Facility,Active,,"303 Homestead Ave, Marieb Building",Room 243,"HOLYOKE, MA 01040",Hampden,121,2024,16,3,4,,3,,,,,,,
New England Aquarium,125,14-R-0029,Class R - Research Facility,Active,,1 Central Wharf,,"Boston, MA 02110",Suffolk,125,2024,,,,,,,,,,,,
Brandeis University (OFFICE OF SPONSORED PROGRAMS),126,14-R-0030,Class R - Research Facility,Active,,OFFICE OF RESEARCH ADMINISTRATION,"415 SOUTH STREET, MS116","WALTHAM, MA 02454",Middlesex,126,2024,,,,,,,,,,,,
Michigan State University,129,34-R-0017,Class R - Research Facility,Active,,"Admin Building 426 Auditorium Rd, Room 249",,"EAST LANSING, MI 48824",Ingham,129,2024,175,39,24,,11,,200,20,520,,,
University Of Massachusetts Medical School,130,14-R-0035,Class R - Research Facility,Active,,55 LAKE AVENUE NORTH,,"WORCESTER, MA 01655",Worcester,130,2024,2,,112,1485,50,1,60,70,,,42.2774799,-71.7616699
ADA Forsyth Institute Inc,131,14-R-0186,Class R - Research Facility,Active,,100 Chestnut St,4th Floor,"Somerville, MA 02143",Middlesex,131,2024,,,,,,,,,,,42.3775135,-71.0859849
Smith College,136,14-R-0061,Class R - Research Facility,Active,,Clark Science Center/Smith College,,"Northampton, MA 01063",Hampshire,136,2024,,,,,,,,,,,,
Worcester Polytechnic Institute,137,14-R-0218,Class R - Research Facility,Active,,100 Institute Road,,"Worcester, MA 01609",Worcester,137,2024,,,,,,,,15,,,42.2736679,-71.8128246
University of Massachusetts (Lowell Research Foundation),139,14-R-0081,Class R - Research Facility,Active,,4 Corporate Drive,,"Andover, MA 01810",Middlesex,139,2024,,,,,,,,,,,42.685525,-71.2066647
Tufts Medical Center,140,14-R-0082,Class R - Research Facility,Active,,I A C U C/ D L A M,136 HARRISON AVENUE,"BOSTON, MA 02111",Suffolk,140,2024,,,,,,,,,,,,
Tufts University,141,14-R-0084,Class R - Research Facility,Active,,I A C U C/ D L A M,136 HARRISON AVENUE,"BOSTON, MA 02111",Suffolk,141,2024,,,,,,,,,,,,
Marine Biological Laboratory,143,14-R-0119,Class R - Research Facility,Active,,7 MBL Street,,"Woods Hole, MA 02543",Barnstable,143,2024,,,,,,,,,,,41.5251365,-70.6712703
Brigham and Womens Hospital,144,14-R-0092,Class R - Research Facility,Active,,"20 Shattuck St.  Operations, Thorn 13",,"BOSTON, MA 02115",Suffolk,144,2024,,,,,6,,2,25,,,,
Wellesley College,145,14-R-0094,Class R - Research Facility,Active,,SCIENCE CENTER,106 CENTRAL STREET,"WELLESLEY, MA 02481",Norfolk,145,2024,,,,,,,,,,,42.2936656,-71.3029564
McLean Hospital Corporation,146,14-R-0096,Class R - Research Facility,Active,,115 MILL STREET,,"BELMONT, MA 02478",Middlesex,146,2024,,,,,,74,,,,,42.3932679,-71.1902447
Labcorp Bedford LLC,147,14-R-0101,Class R - Research Facility,Active,,15 Wiggins Ave,,"Bedford, MA 01730",Middlesex,147,2024,76,,5873,66,2475,,2,,,,42.4783766,-71.2624695
Baystate Medical Center,148,14-R-0196,Class R - Research Facility,Active,,759 CHESTNUT STREET,,"SPRINGFIELD, MA 01199",Hampden,148,2024,,,,,,,,27,,,42.121522,-72.6030062
Wheaton College,151,14-R-0177,Class R - Research Facility,Active,,"Vivarium Science Center, 26 E Main St",,"Norton, MA 02766",Bristol,151,2024,,,,,,,,,,,,
Harvard University,156,14-R-0128,Class R - Research Facility,Active,,16 DIVINITY AVENUE,ROOM 2102,"CAMBRIDGE, MA 02138",Middlesex,156,2024,213,,,546,,,,,,,42.3787274,-71.1134057
Trustees Of Dartmouth College,166,12-R-0001,Class R - Research Facility,Active,,6004 PARKHURST HALL,,"HANOVER, NH 03755",Grafton,166,2024,12,,,,18,,,16,,,,
University Of New Hampshire,167,12-R-0003,Class R - Research Facility,Active,,"107 Service Building, 51 College Rd",,"Durham, NH 03824",Strafford,167,2024,,,,,,,,,139,,,
Bristol Myers Squibb Company,168,22-R-0028,Class R - Research Facility,Active,,3551 Lawrenceville Road,,"Princeton, NJ 08543",Mercer,168,2024,186,,,5,102,535,,2,,,40.3333652,-74.6817133
Becton Dickinson And Co,173,22-R-0041,Class R - Research Facility,Active,,ONE BECTON DRIVE,,"FRANKLIN LAKES, NJ 07417",Bergen,173,2024,,,2168,,129,,18,119,,,41.0129823,-74.2039276
Princeton University,176,22-R-0022,Class R - Research Facility,Active,,P O BOX 36,,"PRINCETON, NJ 08544",Mercer,176,2024,,,3,,,39,,,,,40.3496953,-74.6597376
Rutgers State University of NJ,177,22-R-0025,Class R - Research Facility,Active,,"675 Hoes Lane West, Rm 115",,"Piscataway, NJ 08854",Middlesex,177,2024,,,2,7,80,6,,5,,,,
Eastern Michigan University,195,34-R-0018,Class R - Research Facility,Active,,RESEARCH COMPLIANCE OFFICER,200 BOONE HALL,"YPSILANTI, MI 48197",Washtenaw,195,2024,,,,,,,,,,,,
Emergent Biodefense Operations Lansing LLC,197,34-R-0027,Class R - Research Facility,Active,,3500 N Martin Luther King Blvd,,"Lansing, MI 48906",Ingham,197,2024,,,11997,,,,,,,,42.768143,-84.5672317
Hope College,199,34-R-0035,Class R - Research Facility,Active,,35 East 12th Street,,"Holland, MI 49423",Ottawa,199,2024,,,1,,,,,,,,42.7870683,-86.1049433
William Beaumont Hospital (RESEARCH INSTITUTE),200,34-R-0037,Class R - Research Facility,Active,,3811 WEST 13 MILE ROAD,,"ROYAL OAK, MI 48073",Oakland,200,2024,,,,,,,,1,,,42.5175911,-83.193882
Oakland University,201,34-R-0038,Class R - Research Facility,Active,,OFFICE OF RESEARCH ADMINISTRATION,528 WILSON HALL,"ROCHESTER, MI 48309-4486",Oakland,201,2024,,,,,,,,,,,,
Central Michigan University,202,34-R-0044,Class R - Research Facility,Active,,251 FOUST HALL,OFFICE OF RESEARCH & SPONSORED PROGRAMS,"MOUNT PLEASANT, MI 48859",Isabella,202,2024,,,,,,,,,,,,
Cincinnati Children's Hospital Medical Center,210,31-R-0011,Class R - Research Facility,Active,,3333 BURNET AVENUE,,"CINCINNATI, OH 45229",Hamilton,210,2024,,,607,,22,,8,35,,,39.1408447,-84.5022885
Lankenau Institute for Medical Research,212,23-R-0003,Class R - Research Facility,Active,,100 Lancaster Ave,,"Wynnewood, PA 19096",Montgomery,212,2024,,,40,,75,,,,,,39.9881334,-75.2624226
Macomb Community College (VETERINARY TECHNICIAN PROGRAM),215,34-R-0060,Class R - Research Facility,Active,,44575 Garfield Road,,"Clinton Township, MI 48038",Macomb,215,2024,96,45,,,4,,,,,,42.6243915,-82.9546845
The Ohio State University,216,31-R-0014,Class R - Research Facility,Active,,OFFICE OF RESPONSIBLE RESEARCH PRACTICES,"300 RESEARCH FOUNDATION BLDG, 1960 KENNY RD","COLUMBUS, OH 43210",Franklin,216,2024,25,,6,327,21,2,5,566,235,,,
Cleveland Clinic Foundation (RESEARCH INSTITUTE),223,31-R-0017,Class R - Research Facility,Active,,"BIO RESRC UNIT/NC50, 9500 EUCLID AVE",,"CLEVELAND, OH 44195",Cuyahoga,223,2024,,,,,41,5,,70,,,,
Kent State University,224,31-R-0030,Class R - Research Facility,Active,,800 EAST SUMMIT STREET,SCHWARTZ CENTER SUITE 207,"Kent, OH 44242",Portage,224,2024,84,97,,,,,,,,,41.1464865,-81.3470618
Battelle Memorial Institute,228,31-R-0021,Class R - Research Facility,Active,,505 KING AVENUE ROOM NO. 11-8-070,,"COLUMBUS, OH 43201",Franklin,228,2024,,,1245,,308,494,,82,,,,
Good Samaritan Hospital,230,31-R-0130,Class R - Research Facility,Active,,HATTON INSTITUTE,375 DIXMYTH AVENUE,"CINCINNATI, OH 45220",Hamilton,230,2024,,,,,,,,46,,,,
University of Cincinnati,233,31-R-0027,Class R - Research Facility,Active,,51 GOODMAN DRIVE,PO BOX 210572,"CINCINNATI, OH 45221",Hamilton,233,2024,7,,,,24,,,83,,,,
Case Western Reserve University,234,31-R-0028,Class R - Research Facility,Active,,10900 EUCLID AVE,,"CLEVELAND, OH 44106",Cuyahoga,234,2024,2,,,9,100,,,139,,,41.5128212,-81.6022337
Miami University ORI,235,31-R-0029,Class R - Research Facility,Active,,102  ROUDEBUSH HALL,,"OXFORD, OH 45056",Butler,235,2024,,,,,,,,,,,,
Ethicon Endo Surgery Inc,238,31-R-0034,Class R - Research Facility,Active,,4545 CREEK ROAD,,"CINCINNATI, OH 45242",Hamilton,238,2024,28,,,,,,,237,8,,,
Wright State University,243,31-R-0055,Class R - Research Facility,Active,,LAB ANIMAL RESOURCES,053 HEALTH SCIENCES,"DAYTON, OH 45435",Montgomery,243,2024,,,115,,,,,7,,,,
Center for Conservation and Research of Endangered Wildlife (Cincinnati Zoo & Botanical Garden),247,31-R-0100,Class R - Research Facility,Active,,3400 Vine Street,,"Cincinnati, OH 45220",Hamilton,247,2024,,36,,,,,,,,,39.142884,-84.5099328
Cuyahoga Community College,248,31-R-0067,Class R - Research Facility,Active,,11000 Pleasant Valley Road,,"Parma, OH 44130",Cuyahoga,248,2024,9,20,,,,,,,,,41.3639652,-81.7554067
"NAMSA, LLC (NAMSA Inc)",249,31-R-0068,Class R - Research Facility,Active,,6750 Wales Road,,"Northwood, OH 43619",Wood,249,2024,3,,25316,212,6106,,,31,,,41.6083427,-83.5230058
Ohio University,251,31-R-0082,Class R - Research Facility,Active,,"Grosvenor Hall, Room 202","OFF OF COMPLIANCE, RES & TECH BLDG 117","Athens, OH 45701",Athens,251,2024,,,,,7,,,12,,,39.3246844,-82.106203
Columbus State Community College,252,31-R-0088,Class R - Research Facility,Active,,550 E SPRING STREET,,"COLUMBUS, OH 43216",Franklin,252,2024,25,28,,,8,,,,,,39.9700562,-82.9876362
Frontage Laboratories,254,31-R-0091,Class R - Research Facility,Active,,10845 WELLNESS WAY,,"CONCORD TWP, OH 44077",Lake,254,2024,486,,,,,13,,32,,,,
Northeast Ohio Medical University,255,31-R-0092,Class R - Research Facility,Active,,4209 STATE ROUTE 44,P.O. BOX 95,"ROOTSTOWN, OH 44272",Portage,255,2024,,,10,,4,,,59,,,41.1019807,-81.2479322
Vermont Technical College,265,13-R-0009,Class R - Research Facility,Active,,124 Admin Drive,,"RANDOLPH CENTER, VT 05061",Orange,265,2024,12,,,,,,,,,,43.9380854,-72.599981
Rhode Island Hospital,266,15-R-0002,Class R - Research Facility,Active,,Middle House 4th and 5th,,"Providence, RI 02903",Providence,266,2024,,,,,31,,,58,,,,
Brown University,267,15-R-0003,Class R - Research Facility,Active,,Box G-B 222,,"PROVIDENCE, RI 02912",Providence,267,2024,,,,,,19,1,33,,,,
University of Rhode Island,268,15-R-0004,Class R - Research Facility,Active,,70 Lower College Road,,"Kingston, RI 02881",Washington,268,2024,,,,24,286,,,,,,41.4823008,-71.5297095
University of Vermont (STATE AGRICULTURAL COLLEGE),273,13-R-0001,Class R - Research Facility,Active,,116 HILLS BUILDING,,"BURLINGTON, VT 05405",Chittenden,273,2024,,,,,,,,2,,,,
West Virginia University,276,54-R-0001,Class R - Research Facility,Active,,886 CHESTNUT RIDGE RD,P O BOX 6845,"MORGANTOWN, WV 26506",Monongalia,276,2024,,,,,127,,,,,,39.6579935,-79.955057
Pierpont Community Technical College,278,54-R-0003,Class R - Research Facility,Active,,501 west Main Street,,"Clarksburg, WV 26301",Harrison,278,2024,5,5,,2,,,,,,,39.280023,-80.342723
Marshall University,279,54-R-0004,Class R - Research Facility,Active,,1 John Marshall Dive,,"HUNTINGTON, WV 25755",Cabell,279,2024,,,,,32,,,2,,,,
State University Of New York (College Of Technology / Canton),282,21-R-0013,Class R - Research Facility,Active,,NEWELL VET TECH CENTER,101B 34 CORNELL DR,"CANTON, NY 13617",St. Lawrence,282,2024,48,76,,,2,,,,,,,
Thomas Jefferson University,285,23-R-0011,Class R - Research Facility,Active,,1020 LOCUST ST,"Jeff Alumni Hall, Suite M41","PHILADELPHIA, PA 19107",Philadelphia,285,2024,,,,,26,,,11,,,39.9471423,-75.1584936
Glaxo Smith Kline,286,23-R-0012,Class R - Research Facility,Active,,1250 South Collegeville Rd. UP3400,,"COLLEGEVILLE, PA 19426",Montgomery,286,2024,,,,,211,163,,,,,,
New York Blood Center Inc,287,21-R-0008,Class R - Research Facility,Active,,310 EAST 67TH STREET,,"NEW YORK NEW YORK, NY 10065",New York,287,2024,,,,,,,,,,,40.7657708,-73.9608375
St Johns University,288,21-R-0012,Class R - Research Facility,Active,,8000 UTOPIA PARKWAY,,"JAMAICA, NY 11439",Queens,288,2024,,,,,,,,,,,40.7224988,-73.7962487
University of Pittsburgh,289,23-R-0016,Class R - Research Facility,Active,,3500 Terrace Street,S1040 TE STARZL BIOMEDICAL SCIENCE TOWER,"Pittsburgh, PA 15261",Allegheny,289,2024,22,38,13,75,268,1253,14,212,31,,40.441998,-79.96265
University At Binghamton (State University Of New York),290,21-R-0231,Class R - Research Facility,Active,,DIVISION OF RESEARCH,PO BOX 6000,"BINGHAMTON, NY 13902",Broome,290,2024,,,,,,,,,,,,
Masonic Medical Research Institute,291,21-R-0017,Class R - Research Facility,Active,,2150 BLEECKER STREET,,"UTICA, NY 13501",Oneida,291,2024,,,,,,,,,,,43.0890472,-75.1895314
Regeneron Pharmaceuticals Inc,292,21-R-0018,Class R - Research Facility,Active,,777 OLD SAW MILL RIVER ROAD,,"TARRYTOWN, NY 10591",Westchester,292,2024,,,,,147,,,,,,41.0783771,-73.8235844
Nelco Vet LLC,293,21-R-0019,Class R - Research Facility,Active,,154 BROOK AVENUE,,"DEER PARK, NY 11729",Suffolk,293,2024,,,674,,,,,,,,40.7475979,-73.307598
State University of New York (SUNY DOWNSTATE MEDICAL CENTER),294,21-R-0021,Class R - Research Facility,Active,,"450 Clarkson Avenue, MSC 112",,"BROOKLYN, NY 11203",Kings,294,2024,,,,90,,48,,,,,,
State University Of New York (COLLEGE OF ENVIR. SCIENCE),295,21-R-0024,Class R - Research Facility,Active,,COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY,1 FORESTRY DRIVE,"SYRACUSE, NY 13210",Onondaga,295,2024,,,,,,,,,,,43.0347222,-76.1355556
Stony Brook University,298,21-R-0039,Class R - Research Facility,Active,,"BST, LEVEL 1 ROOM 223 DIV OF LAB ANIMAL RSRC",,"STONY BROOK, NY 11794",Suffolk,298,2024,7,,25,,,,,26,,,,
Franklin & Marshall College,301,23-R-0017,Class R - Research Facility,Active,,P O BOX 3003,,"LANCASTER, PA 17604",Lancaster,301,2024,,,,,,12,,,,,40.0379958,-76.3056707
Union College,302,21-R-0030,Class R - Research Facility,Active,,BIOLOGY DEPARTMENT,,"SCHENECTADY, NY 12308",Schenectady,302,2024,,,,,,,,,,,,
Canisius University,304,21-R-0238,Class R - Research Facility,Active,,2001 Main St,,"Buffalo, NY 14208",Erie,304,2024,,,,,,,,,,,42.9248277,-78.8533303
Pennsylvania State University,306,23-R-0021,Class R - Research Facility,Active,,Office for Research Protections,The 330 Building Suite 205,"University Park, PA 16802",Centre,306,2024,,,6,6,182,,23,49,19,,40.8282533,-77.8472887
The Rockefeller University,307,21-R-0226,Class R - Research Facility,Active,,1230 York Ave,Box 2,"New York, NY 10065",New York,307,2024,,,,,,122,,,,,40.7632351,-73.9562318
State University Of New York (UPSTATE MEDICAL UNIVERSITY),308,21-R-0037,Class R - Research Facility,Active,,"WEISKOTTEN HALL, 766 IRVING AVENUE",ROOM 4159,"SYRACUSE, NY 13210",Onondaga,308,2024,,,,,69,63,,37,,,,
New York Medical College,311,21-R-0060,Class R - Research Facility,Active,,Department of Comparative Medicine,15 Dana Rd,"VALHALLA, NY 10595",Westchester,311,2024,,,,,33,,,7,,,,
MOUNT SINAI SCHOOL OF MEDICINE,312,21-R-0040,Class R - Research Facility,Active,,ONE GUSTAVE L. LEVY PLACE  BOX 1031,,"NEW YORK, NY 10029",New York,312,2024,,,40,122,16,27,,220,,,,
Carnegie Mellon University,316,23-R-0024,Class R - Research Facility,Active,,5000 FORBES AVE,WARNER HALL,"PITTSBURGH, PA 15213",Allegheny,316,2024,,,,,,34,,,,,40.4442309,-79.9433716
Long Island University,319,21-R-0058,Class R - Research Facility,Active,,"Long Island Univ Of Sponsored Research, University Center 700 Northern Blvd",UNIVERSITY CENTER 700 NORTHERN BLVD.,"Greenvale, NY 11548",Nassau,319,2024,,,,,12,,10,,28,,,
Memorial Sloan-Kettering Cancer Center,326,21-R-0072,Class R - Research Facility,Active,,"417 East 68th Street, 9th Floor, Suite 920",,"New York, NY 10065",New York,326,2024,,,,6,,,,9,,,,
Temple University,328,23-R-0027,Class R - Research Facility,Active,,3500 N BROAD STREET,MEDICAL EDUCATION & RESEARCH BUILDING RM 537,"PHILADELPHIA, PA 19140",Philadelphia,328,2024,17,18,,,,,,19,,,40.0069833,-75.152203
Albany Medical College,330,21-R-0103,Class R - Research Facility,Active,,ANIMAL RESOURCES FACILITY,47 NEW SCOTLAND AVENUE,"ALBANY, NY 12208",Albany,330,2024,,,,,,,,10,,,,
