Account Name,Customer Number,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County
"University of Maryland Baltimore","89","51-R-0018","Class R - Research Facility","Active","","10 S PINE ST. RM G-100, MSTF BLDG","","BALTIMORE, MD 21201","Baltimore city"
"Community College Of Baltimore County (C C B C)","90","51-R-0020","Class R - Research Facility","Active","","7201 ROSSVILLE BLVD","Vet Tech - Mash basement","BALTIMORE, MD 21237","Baltimore city"
"University of Maryland College Park","91","51-R-0095","Class R - Research Facility","Active","","DIRECTOR LABORATORY ANIMAL CARE","COLLEGE PARK CAMPUS","COLLEGE PARK, MD 20742","Prince George's"
"Bioqual Inc","93","51-R-0036","Class R - Research Facility","Active","","9600 Medical Center Dr","Suite 101","Rockville, MD 20850","Montgomery"
"Dana-Farber Cancer Institute","100","14-R-0003","Class R - Research Facility","Cancelled","","450 BROOKLINE AVENUE","","BOSTON, MA 02215","Suffolk"
"Pine Acres Rabbitry Farm","101","14-R-0004","Class R - Research Facility","Active","","299 E. MAIN STREET","","NORTON, MA 02766","Bristol"
"The Schepens Eye Research Institute","106","14-R-0010","Class R - Research Facility","Active","","20 STANIFORD STREET","","BOSTON, MA 02114","Suffolk"
"Harvard Medical School","107","14-R-0019","Class R - Research Facility","Active","","HARVARD CENTER FOR COMPARATIVE MEDICINE","665 HUNTINGTON AVE","BOSTON, MA 02115","Suffolk"
"General Hospital Corporation (MASSACHUSETTS GENERAL HOSPITAL)","108","14-R-0014","Class R - Research Facility","Active","","RES MGMT 149 13TH ST # 5249","","CHARLESTOWN, MA 02129","Suffolk"
"University of Michigan","109","34-R-0001","Class R - Research Facility","Active","","NCRC 520 – 2137 2800 Plymouth Rd","","Ann Arbor, MI 48109","Washtenaw"
"LCF Foundation Inc (Lahey Medical Center)","110","14-R-0016","Class R - Research Facility","Active","","41 Mall Road","","Burlington, MA 01805","Middlesex"
"Henry Ford Hospital","111","34-R-0151","Class R - Research Facility","Active","","2799 W GRAND BLVD","","DETROIT, MI 48202","Wayne"
"Boston University","112","14-R-0017","Class R - Research Facility","Active","","85 East Newton St., Room 426","","Boston, MA 02118","Suffolk"
"Massachusetts Institute of Technology (OFFICE OF THE VICE PRESIDENT FOR RESEARCH)","114","14-R-0018","Class R - Research Facility","Active","","77 MASSACHUSETTS AVENUE, 3-240","","CAMBRIDGE, MA 02139","Middlesex"
"Providence Hospital","116","34-R-0009","Class R - Research Facility","Active","","28000 Dequindre Rd","","Warren, MI 48092","Macomb"
"Boston Children’s Hospital (JOHN ENDERS PEDIATRIC RESEARCH)","117","14-R-0020","Class R - Research Facility","Active","","BCH 3396","300 LONGWOOD AVE","BOSTON, MA 02115","Suffolk"
"Northeastern University","118","14-R-0021","Class R - Research Facility","Active","","12 MUGAR LIFE SCIENCES BLDG","360 HUNTINGTON AVE","BOSTON, MA 02115","Suffolk"
"Massachusetts Eye And Ear Infirmary","119","14-R-0022","Class R - Research Facility","Active","","243 CHARLES STREET","","BOSTON, MA 02114","Suffolk"
"Wayne State University","120","34-R-0014","Class R - Research Facility","Active","","DIRECTOR/ATTENDING VETERINARIAN","DIVISION OF LABORATORY ANIMAL RESOURCES","DETROIT, MI 48201","Wayne"
"Holyoke Community College","121","14-R-0025","Class R - Research Facility","Active","","303 Homestead Ave, Marieb Building","Room 243","HOLYOKE, MA 01040","Hampden"
"New England Aquarium","125","14-R-0029","Class R - Research Facility","Active","","1 Central Wharf","","Boston, MA 02110","Suffolk"
"Brandeis University (OFFICE OF SPONSORED PROGRAMS)","126","14-R-0030","Class R - Research Facility","Active","","OFFICE OF RESEARCH ADMINISTRATION","415 SOUTH STREET, MS116","WALTHAM, MA 02454","Middlesex"
"Michigan State University","129","34-R-0017","Class R - Research Facility","Active","","Admin Building 426 Auditorium Rd, Room 249","","EAST LANSING, MI 48824","Ingham"
"University Of Massachusetts Medical School","130","14-R-0035","Class R - Research Facility","Active","","55 LAKE AVENUE NORTH","","WORCESTER, MA 01655","Worcester"
"ADA Forsyth Institute Inc","131","14-R-0186","Class R - Research Facility","Active","","100 Chestnut St","4th Floor","Somerville, MA 02143","Middlesex"
"Smith College","136","14-R-0061","Class R - Research Facility","Active","","Clark Science Center/Smith College","","Northampton, MA 01063","Hampshire"
"Worcester Polytechnic Institute","137","14-R-0218","Class R - Research Facility","Active","","100 Institute Road","","Worcester, MA 01609","Worcester"
"University of Massachusetts (Lowell Research Foundation)","139","14-R-0081","Class R - Research Facility","Active","","4 Corporate Drive","","Andover, MA 01810","Middlesex"
"Tufts Medical Center","140","14-R-0082","Class R - Research Facility","Active","","I A C U C/ D L A M","136 HARRISON AVENUE","BOSTON, MA 02111","Suffolk"
"Tufts University","141","14-R-0084","Class R - Research Facility","Active","","I A C U C/ D L A M","136 HARRISON AVENUE","BOSTON, MA 02111","Suffolk"
"Marine Biological Laboratory","143","14-R-0119","Class R - Research Facility","Active","","7 MBL Street","","Woods Hole, MA 02543","Barnstable"
"Brigham and Womens Hospital","144","14-R-0092","Class R - Research Facility","Active","","20 Shattuck St.  Operations, Thorn 13","","BOSTON, MA 02115","Suffolk"
"Wellesley College","145","14-R-0094","Class R - Research Facility","Active","","SCIENCE CENTER","106 CENTRAL STREET","WELLESLEY, MA 02481","Norfolk"
"McLean Hospital Corporation","146","14-R-0096","Class R - Research Facility","Active","","115 MILL STREET","","BELMONT, MA 02478","Middlesex"
"Labcorp Bedford LLC","147","14-R-0101","Class R - Research Facility","Active","","15 Wiggins Ave","","Bedford, MA 01730","Middlesex"
"Baystate Medical Center","148","14-R-0196","Class R - Research Facility","Active","","759 CHESTNUT STREET","","SPRINGFIELD, MA 01199","Hampden"
"Wheaton College","151","14-R-0177","Class R - Research Facility","Active","","Vivarium Science Center, 26 E Main St","","Norton, MA 02766","Bristol"
"Harvard University","156","14-R-0128","Class R - Research Facility","Active","","16 DIVINITY AVENUE","ROOM 2102","CAMBRIDGE, MA 02138","Middlesex"
"Trustees Of Dartmouth College","166","12-R-0001","Class R - Research Facility","Active","","6004 PARKHURST HALL","","HANOVER, NH 03755","Grafton"
"University Of New Hampshire","167","12-R-0003","Class R - Research Facility","Active","","107 Service Building, 51 College Rd","","Durham, NH 03824","Strafford"
"Bristol Myers Squibb Company","168","22-R-0028","Class R - Research Facility","Active","","3551 Lawrenceville Road","","Princeton, NJ 08543","Mercer"
"Becton Dickinson And Co","173","22-R-0041","Class R - Research Facility","Active","","ONE BECTON DRIVE","","FRANKLIN LAKES, NJ 07417","Bergen"
"Princeton University","176","22-R-0022","Class R - Research Facility","Active","","P O BOX 36","","PRINCETON, NJ 08544","Mercer"
"Rutgers State University of NJ","177","22-R-0025","Class R - Research Facility","Active","","675 Hoes Lane West, Rm 115","","Piscataway, NJ 08854","Middlesex"
"Eastern Michigan University","195","34-R-0018","Class R - Research Facility","Active","","RESEARCH COMPLIANCE OFFICER","200 BOONE HALL","YPSILANTI, MI 48197","Washtenaw"
"Emergent Biodefense Operations Lansing LLC","197","34-R-0027","Class R - Research Facility","Active","","3500 N Martin Luther King Blvd","","Lansing, MI 48906","Ingham"
"Hope College","199","34-R-0035","Class R - Research Facility","Active","","35 East 12th Street","","Holland, MI 49423","Ottawa"
"William Beaumont Hospital (RESEARCH INSTITUTE)","200","34-R-0037","Class R - Research Facility","Active","","3811 WEST 13 MILE ROAD","","ROYAL OAK, MI 48073","Oakland"
"Oakland University","201","34-R-0038","Class R - Research Facility","Active","","OFFICE OF RESEARCH ADMINISTRATION","528 WILSON HALL","ROCHESTER, MI 48309-4486","Oakland"
"Central Michigan University","202","34-R-0044","Class R - Research Facility","Active","","251 FOUST HALL","OFFICE OF RESEARCH & SPONSORED PROGRAMS","MOUNT PLEASANT, MI 48859","Isabella"
"Cincinnati Children's Hospital Medical Center","210","31-R-0011","Class R - Research Facility","Active","","3333 BURNET AVENUE","","CINCINNATI, OH 45229","Hamilton"
"Lankenau Institute for Medical Research","212","23-R-0003","Class R - Research Facility","Active","","100 Lancaster Ave","","Wynnewood, PA 19096","Montgomery"
"Macomb Community College (VETERINARY TECHNICIAN PROGRAM)","215","34-R-0060","Class R - Research Facility","Active","","44575 Garfield Road","","Clinton Township, MI 48038","Macomb"
"The Ohio State University","216","31-R-0014","Class R - Research Facility","Active","","OFFICE OF RESPONSIBLE RESEARCH PRACTICES","300 RESEARCH FOUNDATION BLDG, 1960 KENNY RD","COLUMBUS, OH 43210","Franklin"
"Cleveland Clinic Foundation (RESEARCH INSTITUTE)","223","31-R-0017","Class R - Research Facility","Active","","BIO RESRC UNIT/NC50, 9500 EUCLID AVE","","CLEVELAND, OH 44195","Cuyahoga"
"Kent State University","224","31-R-0030","Class R - Research Facility","Active","","800 EAST SUMMIT STREET","SCHWARTZ CENTER SUITE 207","Kent, OH 44242","Portage"
"Battelle Memorial Institute","228","31-R-0021","Class R - Research Facility","Active","","505 KING AVENUE ROOM NO. 11-8-070","","COLUMBUS, OH 43201","Franklin"
"Good Samaritan Hospital","230","31-R-0130","Class R - Research Facility","Active","","HATTON INSTITUTE","375 DIXMYTH AVENUE","CINCINNATI, OH 45220","Hamilton"
"University of Cincinnati","233","31-R-0027","Class R - Research Facility","Active","","51 GOODMAN DRIVE","PO BOX 210572","CINCINNATI, OH 45221","Hamilton"
"Case Western Reserve University","234","31-R-0028","Class R - Research Facility","Active","","10900 EUCLID AVE","","CLEVELAND, OH 44106","Cuyahoga"
"Miami University ORI","235","31-R-0029","Class R - Research Facility","Active","","102  ROUDEBUSH HALL","","OXFORD, OH 45056","Butler"
"Ethicon Endo Surgery Inc","238","31-R-0034","Class R - Research Facility","Active","","4545 CREEK ROAD","","CINCINNATI, OH 45242","Hamilton"
"Wright State University","243","31-R-0055","Class R - Research Facility","Active","","LAB ANIMAL RESOURCES","053 HEALTH SCIENCES","DAYTON, OH 45435","Montgomery"
"Center for Conservation and Research of Endangered Wildlife (Cincinnati Zoo & Botanical Garden)","247","31-R-0100","Class R - Research Facility","Active","","3400 Vine Street","","Cincinnati, OH 45220","Hamilton"
"Cuyahoga Community College","248","31-R-0067","Class R - Research Facility","Active","","11000 Pleasant Valley Road","","Parma, OH 44130","Cuyahoga"
"NAMSA, LLC (NAMSA Inc)","249","31-R-0068","Class R - Research Facility","Active","","6750 Wales Road","","Northwood, OH 43619","Wood"
"Ohio University","251","31-R-0082","Class R - Research Facility","Active","","Grosvenor Hall, Room 202","OFF OF COMPLIANCE, RES & TECH BLDG 117","Athens, OH 45701","Athens"
"Columbus State Community College","252","31-R-0088","Class R - Research Facility","Active","","550 E SPRING STREET","","COLUMBUS, OH 43216","Franklin"
"Frontage Laboratories","254","31-R-0091","Class R - Research Facility","Active","","10845 WELLNESS WAY","","CONCORD TWP, OH 44077","Lake"
"Northeast Ohio Medical University","255","31-R-0092","Class R - Research Facility","Active","","4209 STATE ROUTE 44","P.O. BOX 95","ROOTSTOWN, OH 44272","Portage"
