Est Number,Company,Street,City,State,Zip,Phone,DBAS
1149,"Lineage Logistics Services, LLC","1710 Pier B St.","LONG BEACH","CA","90813","(562) 637-7730","NA"
115,"NOCS West Gulf","9223 Texas Hwy 225","LA PORTE","TX","77571","(281) 930-8002","NA"
1151,"FlexCold, LLC","11180 Blasius Road","JACKSONVILLE","FL","29485","(904) 914-4353","NA"
1153,"Micronesian Brokers, Inc.","545 Chalan Machuate St.","MAITE","GU","96910","(671) 477-0970","NA"
1154,"Livingston International, Inc.","472 5th Street South","PEMBINA","ND","58271","","Norman G. Jensen, Inc."
1158,"Lineage Logistics MTC, LLC","7950 Oceano Avenue","JESSUP","MD","20794","(240) 517-0889","NA"
116,"Americold Logistics","1610 Sepulveda Boulevard","CARSON","CA","90745","(310) 632-6265","NA"
"11651+V1651","RSF Inc dba FreezPak Logistics","2 Paddock Street","WOODBRIDGE","NJ","07001","(973) 523-1899","NA"
1171,"Yaong Corporation Rem Center Warehouse","Unit 6 Rem Center, Cheribiyan Drive","SAIPAN","MP","96950","(670) 235-3890","NA"
"11811+V1811","Sorbello Refrigerated Services Houston LLC","3350 Rogerdale Road","HOUSTON","TX","77042","(804) 370-1460","Sorbello Refrigerated Services LLC"
1182,"Americold Logistics LLC","540 Franklinville Road","MULLICA HILL","NJ","08062","(856) 285-2663","NA"
1185,"Malgor & Co.","Box 366","CATANO","PR","00963","(787) 788-0303","NA"
"119+V19","Lineage Logistics PFS, LLC","400 Polar Way","SAN LEANDRO","CA","94577","(510) 352-3900","LINEAGE LOGISTICS PFS. LLC"
1193,"Quirch Foods Company","7600 NW 82 Place","MEDLEY","FL","33166","(305) 691-3535","NA"
1196,"Maersk Warehousing & Distribution Services USA LLC","733 Autonomous Drive","RIDGEVILLE","SC","29472","(912) 294-8819","NA"
120,"Versacold Texas, LP","502 North Broadway","LA PORTE","TX","77571","(281) 867-2613","Americold; Americold Logistics; Americold Logistics, LLC; ART Mortage Borrower OPCO 2010-5; Versacold Logistics Services US; Versacold USA, Inc."
1207,"T.C. Trading Company, LLC","1755 Boblett Street","BLAINE","WA","98230","(360) 332-5656","TC Trading Company INC"
1208,"Artico Cold Storage Chicago LLC","1556 W 43rd St","CHICAGO","IL","60609","(773) 847-2700","NA"
121,"Summit Cold Storage","5450 S. Center Avenue","SUMMIT","IL","60501","(708) 924-1137","NA"
"12142+V2142","Maersk Warehousing & Distribution Services USA, LLC","298 N Corporate Drive","WILMINGTON","NC","28401","(912) 294-8819","Performance Team"
121935,"Suffolk Cold Storage","2000 North Gate Commerce Parkway","SUFFOLK","VA","23435","(757) 465-3600","NA"
"12234+V2234","Lineage Logistics, LLC","7500 Uvalde Road","HOUSTON","TX","77049","(281) 310-4194","NA"
1224,"Caguas Warehouse LLC","BO. RIO CANAS, PARQUE IND RIO CANAS NUM 24,25","CAGUAS","PR","00726","(787) 783-1988","GMT LLC"
1226,"Berkshire Refrigerated Warehousing, LLC","4550 South Packers Avenue","CHICAGO","IL","60609","(773) 254-2424","NA"
1229,"Vertical Cold Storage, LLC","11801 NW 102 Road","MEDLEY","FL","33178","(305) 691-5391","N/A"
1235,"Lineage Logistics, LLC","502 10th Ave N","ALGONA","WA","98001","(470) 330-6462","NA"
12395,"D&T Foods Inc.","1261 Martin Ave","SANTA CLARA","CA","95050","(408) 727-8331","NA"
"12406+V2406","A&I Logistic Inc.","10615 Ruchti Road","SOUTH GATE","CA","90820","(800) 500-0225","NA"
1258,"Seaonus Cold Storage - Jacksonville LLC","2625 West 5th Street","JACKSONVILLE","FL","32254","(904) 486-6059","NA"
126,"Lakeside Refrigerated Services","2600 Oldmans Creek Road","SWEDESBORO","NJ","08085","(650) 813-1300","NA"
1264,"U.S. Import Meat Inspection","410 Elm Street","SWEET GRASS","MT","59484","(406) 335-2980","NA"
1265,"Freezer Services of Michigan, L.L.C.","8350 Saint Aubin Street","HAMTRAMCK","MI","48212","(313) 871-5040","Border City U.S.A"
"127453+V27453","New Orleans Cold Storage & Warehouse Company, Ltd.","3411 Jourdan Road","NEW ORLEANS","LA","70126","(504) 944-4400","NA"
1277,"Jacob Fleishman Cold Storage","1177 NW 81st Street","MIAMI","FL","33150","(305) 696-2350","NA"
"12783+V2783","FreezPak Logistics","7818 Fisher Rd","BAYTOWN","TX","77523","(972) 561-0040","FreezPak Logistice; Ray S.F., INC"
128,"Luen Fung Enterprises","Harmon Industrial Park","HARMON","GU","96931","(671) 646-7072","NA"
13,"Northwestern Selecta, Inc.","796 Calle C Mario Julia Industrial Park","SAN JUAN","PR","00920","(787) 781-1950","Numeat Packing, Inc."
131,"Lineage Logistics PFS, LLC","2700 Trade Street","CHESAPEAKE","VA","23323","(757) 558-4700","NA"
1311,"Jose G. Flores, Inc.","Amelia Industrial Park; Lot #27 D Street","GUAYNABO","PR","00966","","NA"
1319,"Ballester Hermanos, Inc.","Ballester Hermanos, Inc.","CATANO","PR","00962","(787) 788-4110","NA"
134311,"Paden Cold Inc.","5714 Curlew Dr.","NORFOLK","VA","23502","(757) 410-3175","NA"
136,"Lineage Logistics, LLC","1780 West Beaver Street","JACKSONVILLE","FL","32209","(904) 301-1400","NA"
137,"Lineage Logistics PFS, LLC","10060 Porter Road","LA PORTE","TX","77571","","NA"
1375,"Triple J Five Star Wholesale Foods, Inc","490 North Marine Corps Dr","DEDEDO","GU","96929","(671) 637-7576","NA"
139,"Americold Logistics LLC","220 Nordic Way","POOLER","GA","31322","(404) 328-6211","AGRO Merchants Group; Nordic Logistics and Warehousing LLC"
"1393+V393","Maersk Warehousing & Dist Srvcs USA LLC","6455 Edna Way","BAYTOWN","TX","77523","(979) 837-6452","Performance Team"
1412,"Trafon Group Inc..","Calle C #1229 Mercado Central","SAN JUAN","PR","00922","","NA"
1422,"Piatkowski Riteway Meats Inc.","3555 Witmer Road","NIAGARA FALLS","NY","14305","(716) 298-9865","NA"
145,"Lineage Logistics","7748 Palmetto Commerce Pkwy","NORTH CHARLESTON","SC","29420","(843) 998-6067","Millard Refrigerated Services, LLC"
147475,"TDI","99 New Hook Road","BAYONNE","NJ","07002","(000) 000-0000","NA"
148,"Lineage Logistics PFS. LLC","2500 S. Damen","CHICAGO","IL","60608","(773) 847-1800","NA"
149,"Lineage Logistics PFS, LLC","60 Commercial Street","EVERETT","MA","02149","(617) 387-2050","NA"
15,"Americold Logistics LLC","1125 Newton Way","SUMMERVILLE","SC","29483","(843) 486-1126","Agro Merchant 's Group, Inc."
1513,"Lineage Logistics PFS, LLC","Lineage Logistics PFS, LLC","MEDLEY","FL","33178","(305) 885-7077","NA"
1517,"Lineage Logistics PFS, LLC","900 East M Street","WILMINGTON","CA","90744","(310) 518-1800","NA"
1521,"Lineage Logistics MTC, LLC","2 Dock View Drive","NEW CASTLE","DE","19720","(302) 654-3400","NA"
1531,"RSF Inc dba FreezPak Logistics","2201 East Allegheny Avenue","PHILADELPHIA","PA","19134","(973) 523-1899","FreezPak Logistics"
"1532+V532","Lineage Logistics PFS, LLC","360 Avenue P","NEWARK","NJ","07105","(973) 820-4022","NA"
1536,"NEP Cold Storage, Inc.","2701 Red Lion Road","PHILADELPHIA","PA","19114","(215) 934-6000","NA"
154,"Weighmasters Murphy, Inc.","1601 West 12th Street","LONG BEACH","CA","90813","(562) 495-4144","NA"
156,"Londonderry Freezer Warehouse LLC","219 Rockingham Road","LONDONDERRY","NH","03053","(603) 421-9525","NA"
158,"Lineage Logistics-Vernon Area #2","3211 E. 44th Street","VERNON","CA","90058","(323) 923-2002","NA"
16,"Lineage Logistics PFS, LLC","4901 Bandini Blvd.","VERNON","CA","90058","(323) 263-8811","NA"
1608,"Pacific Produce Corporation","220 East Harmon Industrial Park Road","TAMUNING","GU","96931","(671) 646-8082","NA"
161,"Lineage Logistics PFS, LLC","2357 S. Wood St.","CHICAGO","IL","60608","(773) 268-3400","NA"
1616,"Lineage Logistics MTC, LLC","4851 Holabird Avenue","BALTIMORE","MD","21224","(240) 216-4638","NA"
"162+V62","Piazza's Seafood World, LLC","205 James Drive West","ST. ROSE","LA","70087","(504) 602-5050","NA"
1621,"Mendez & Co. Cold Storage Logistics","Diana Street Lot #5","GUAYNABO","PR","00968","","NA"
1625,"Quirch Foods Carribean, Inc.","918 Calle Escorial","SAN JUAN","PR","00920","(787) 775-6150","NA"
1630,"Ballester Hermanos Inc.","#696 Street, #9","DORADO","PR","00646","","NA"
1631,"QF Southeast, LLC","621 Snively Ave.","WINTER HAVEN","FL","33880","(305) 691-3535","Phoenix Logistics; Quirch Foods"
164,"Luen Fung Enterprises (Saipan), Inc.","Arnold Pale Highway, Middle Road, Gualo Rai Village","SAIPAN","MP","96950","(670) 234-7243","NA"
"165+V65","Kearny Cold Storage","69-81 Sellers Street","KEARNY","NJ","07032","(201) 628-2952","NA"
"1655+V976","Premier Distribution Center, LLC","841 N. Industrial Park Avenue","NOGALES","AZ","85621","(520) 761-3481","NA"
"166+V51311","Lineage Logistics PFS, LLC","10585 Red Bluff Rd.","PASADENA","TX","77507","(281) 291-9100","NA"
1663,"Sea World Inc","Calle Diana Lot #36","GUAYNABO","PR","00968","(787) 273-1011","NA"
1669,"Americold Logistics LLC","3 Gateway Boulevard","PEDRICKTOWN","NJ","08067","(856) 285-2600","NA"
167,"Preferred Freezer of Elizabeth, LLC","150 Bayway Avenue","ELIZABETH","NJ","07202","(973) 854-9400","NA"
1670,"JE EXPORTS","224 West Grant Street","CALEXICO","CA","92231","(760) 357-2095","NA"
168,"H&N Group, Inc.","5580 S. Alameda Street","VERNON","CA","90058","(323) 586-9388","NA"
1680,"Lineage Logistics PFS, LLC","7080 Express Lane","HOUSTON","TX","77078","","NA"
1681,"JE Exports","1680 Hilltop Drive","CHULA VISTA","CA","91911","(619) 426-6992","NA"
1686,"Americold Logistics LLC","1229 Fleetway Drive","CHESAPEAKE","VA","23323","(757) 487-7847","NA"
"172+V72A","RSF Inc. DBA Freezpak Logistics","760 B Port Carteret Drive","CARTERET","NJ","07008","(973) 523-1899","Freezpak Logistics"
1734,"Arcadia Cold Jacksonville, LLC","9765 N. Main St.","JACKSONVILLE","FL","32218","(904) 701-2210","N/A"
"174+V74","Lineage Logistics PFS, LLC","604 Curt Maberry Road","LYNDEN","WA","98264","(360) 354-3900","NA"
177+V77,"Lineage Logistics PFS. LLC","1400 S. Los Palos Street","LOS ANGELES","CA","90023","(323) 430-8550","NA"
18,"Envision Cold","860 81st Avenue","OAKLAND","CA","94621","(786) 559-2291","United Cold Storage"
"181+V81","Lineage Logistics-Vernon Area #8","2825 E. 44th Street","VERNON","CA","90058","(323) 583-3163","NA"
180,"Lineage Logistics PFS, LLC","435-A Bergen Ave","KEARNY","NJ","07032","(862) 400-0379","NA"
"183+V83","B.Y. International Inc..","710 Epperson Drive","CITY OF INDUSTRY","CA","91748","(909) 262-6713","NA"
185,"Global Trading Enterprises LLC, DBA Rastelli Global","504 Sharptown Road","SWEDESBORO","NJ","08085","(856) 803-1100","Rastelli Global"
"1869+V869","RSF Inc. DBA FreezPak Logistics","3995 W 108th Street","HIALEAH","FL","33018","(973) 523-1899","FreezPak Logistics"
187,"Carson Guam Corporation","5164-2-R1 B21 Bldg 100, 102, 104","TAMUNING","GU","96931","(671) 646-0881","NA"
188,"New XO Market/Wholesale","Gualo Rai, Middle Road","SAIPAN","MP","96950","(670) 235-9168","NA"
189,"Lineage Logistics PFS, LLC","5459 Doolittle Road","JACKSONVILLE","FL","32254","(904) 477-9320","NA"
191,"Pacific Grocers","196 Juan C. Fejeran","BARRIGADA","GU","96913","(671) 649-6978","NA"
1914,"Sea Win, Inc.","1115 Jahn Reed Court","CITY OF INDUSTRY","CA","91745","(626) 627-0723","NA"
193,"Lineage Logistics PFS, LLC","3990 W.108th Street","HIALEAH","FL","33018","(786) 510-1022","NA"
195,"Royal Foods Distribution","2026 Martin Avenue","SANTA CLARA","CA","95050","","NA"
"1963+V963","RSF Inc. dba FreezPak Logistics","7101 S Leamington Ave.","BEDFORD PARK","IL","60638","(973) 523-1899","FreezPak Logistics"
199,"Americold Logistics, LLC","1951 Old River Road","BLOOMINGDALE","GA","31302","(404) 216-0576","NA"
"M45925+P45925+145925+V45925","Frigopack USA Inc","890 FAIRMOUNT AVE","ELIZABETH","NJ","07201","(201) 770-1143","NA"
