Account Name,Customer Number,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County
"Sebastian Bol (Cowboy Cat Ranch)","502147","74-R-0246","Class R - Research Facility","Active","","1105 COUNTY ROAD 2720","","MICO, TX 78056","Medina"
"Columbus State University","502326","57-R-0129","Class R - Research Facility","Cancelled","","4225 UNIVERSITY AVE","","COLUMBUS, GA 31907","Muscogee"
"Oklahoma State University","502460","73-R-0121","Class R - Research Facility","Active","","101 McElroy Hall Annex","","Stillwater, OK 74078","Payne"
"Minnesota North College - Vermilion (Research Veterinary Technology Teaching School)","502497","41-R-0089","Class R - Research Facility","Active","","1900 E CAMP ST","","ELY, MN 55731","St. Louis"
"Dakota County Technical College","502594","41-R-0092","Class R - Research Facility","Active","","1300 145TH ST EAST","","ROSEMOUNT, MN 55068","Dakota"
"Black Hawk College East Campus","502753","33-R-0160","Class R - Research Facility","Active","","VETERINARY TECHNOLOGY PROGRAM","26230 BLACK HAWK ROAD","GALVA, IL 61434","Henry"
"Genesis Pharmoptima LLC","502816","34-R-0167","Class R - Research Facility","Active","","6710 QUALITY WAY","","PORTAGE, MI 49002","Kalamazoo"
"ABBIOTEC, INC","502843","93-R-0582","Class R - Research Facility","Active","","938 S. Andreasen Dr. Ste I","","ESCONDIDO, CA 92029","San Diego"
"University of Toledo (HEALTH SCIENCE CAMPUS)","502924","31-R-0134","Class R - Research Facility","Active","","3000 Arlington Ave., MS 1004","","TOLEDO, OH 43614","Lucas"
"CorVus Biomedical LLC","503099","32-R-0055","Class R - Research Facility","Active","","2409 West 400 North","","Crawfordsville, IN 47933","Montgomery"
"Pharmaron (Boston) Lab Services LLC","503238","14-R-0214","Class R - Research Facility","Active","","12 Cabot Rd., Suites A and T","","Woburn, MA 01801","Middlesex"
"Universidad De Puerto Rico En Arecibo","503339","94-R-0116","Class R - Research Facility","Active","","PROGRAMA GRADO ASOCIADO EN TECNOLOGIA VET","PO BOX 4010","ARECIBO, PR 614","Arecibo"
"Cape Fear Community College Veterinary Medical Technology Program","503416","55-R-0152","Class R - Research Facility","Active","","4500 BLUE CLAY ROAD","","CASTLE HAYNE, NC 28429","New Hanover"
"Neosome Life Sciences LLC","503489","14-R-0215","Class R - Research Facility","Active","","5 Fortune Drive","","Billerica, MA 01821","Middlesex"
"Oregon State University","503605","92-R-0041","Class R - Research Facility","Active","","Research Office","A312 Kerr Administration Bldg.","CORVALLIS, OR 97331","Benton"
"Missouri University of Science and Technology","503724","43-R-0130","Class R - Research Facility","Active","","400 W 11th Street","","ROLLA, MO 65409","Phelps"
"BLP Biolab Services Inc","503851","93-R-0580","Class R - Research Facility","Active","","1115 Marine View Drive","","Vista, CA 92081","San Diego"
"ARC Companion","504696","74-R-0229","Class R - Research Facility","Active","","17801 Hope Road","","CANYON, TX 79015","Randall"
"Midwest Veterinary Services Inc","504697","47-R-0036","Class R - Research Facility","Active","","1290 Co. Rd. M","","OAKLAND, NE 68045","Burt"
"Oak Hill Genetics LLC","505154","33-R-0164","Class R - Research Facility","Active","","21434 Oak Hill Road","","Ewing, IL 62836","Franklin"
"Altasciences Preclinical Seattle LLC","505169","91-R-0075","Class R - Research Facility","Active","","6605 Merrill Creek Parkway","","Everett, WA 98203","Snohomish"
"USDA ARS Human Nutrition Rsrch Cntr Aging Tufts Un","505339","14-G-0002","Class G - Agricultural Research Facility ARS","Active","","711 WASHINGTON ST","","BOSTON, MA 02111","Suffolk"
"Florida Institute Of Technology","505364","58-R-0164","Class R - Research Facility","Active","","150 W University Blvd","","MELBOURNE, FL 32901","Brevard"
"Montclair State University","505506","22-R-0158","Class R - Research Facility","Active","","1 Normal Ave., Attn: Office of Research Compliance, NURS. Bldg. Suite 333","","Montclair, NJ 07043","Essex"
"Indiana University Health","505559","32-R-0056","Class R - Research Facility","Active","","I-65 @ 21st Street; PO Box 1367","","Indianapolis, IN 46202","Marion"
"Alaska Department Of Fish And Game","505775","96-R-0007","Class R - Research Facility","Active","","Matanuska Experiment Farm","1509 Georgeson Rd","PALMER, AK 99645","Matanuska-Susitna"
"Charlesson LLC (EYECRO LLC)","505884","73-R-0123","Class R - Research Facility","Active","","5301 N Beverly Drive","","OKLAHOMA CITY, OK 73105","Oklahoma"
